player_id,short_name,primary_position,overall,age,value_eur,wage_eur,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
205255,J. Reid,ST,63,28,500000.0,2000.0,875000.0,76.0,63.0,53.0,62.0,23.0,68.0,0.059547387,0.08629854,0.04571228,0.10764743,-0.114825994,0.093926504,0.029506126,0.019376341,-0.14904106,0.011605934,0.37843484,-0.11700073,0.02068923,-0.008972223,0.006372049,0.13629222,0.16621785,0.025513154,-0.07733729,-0.0582855,-0.009975725,-0.16883989,0.19515614,-0.12796852,0.14934465,0.06697455,-0.04658554,0.14799522,-0.19550762,-0.22264446,-0.015625376,-0.004941663,-0.07878673,0.102162875,0.08544036,-0.29529288,-0.03787567,0.02015827,0.0795294,-0.025042195,-0.029035859,0.15255159,0.16789044,0.020497236,0.22234684,-0.03217016,-0.095993735,-0.13357146,-0.0060835937,-0.04201692,-0.004760602,0.23683068,-0.06885712,0.06634382,-0.13924253,0.17663176,-0.10856746,0.055054367,0.047937058,-0.118706524,0.06438209,0.27459428,-0.040437635,-0.11760238
205256,K. Boli,CB,64,32,375000.0,3000.0,506000.0,66.0,35.0,48.0,47.0,64.0,73.0,-0.018474082,-0.09272038,0.031591382,0.0674736,-0.0023197692,0.0512691,-0.06877305,-0.004416062,0.06390233,-0.014958423,0.18431355,0.018777903,0.24091947,-0.090275444,0.20832713,0.08280149,0.16863845,-0.1255473,-0.17267314,0.090109944,-0.096642256,-0.15564281,-0.17790364,-0.0623734,0.020626137,-0.08514543,-0.069193006,0.12896936,-0.17013401,0.036517367,-0.18243526,-0.04880067,-0.11088168,-0.092335135,0.1060014,-0.035453234,0.09027572,0.13797642,0.0033203429,0.19687593,-0.26191312,0.10813443,-0.015705938,-0.23978828,0.15014264,0.09361543,0.097503036,-0.19184925,0.15754506,-0.076514006,-0.11023805,0.12029204,0.105032586,0.08755617,0.1874803,0.1381413,-0.12431179,0.017518856,-0.072950944,-0.09434417,0.2632532,0.11054921,0.10738477,0.092597134
205278,Rim Chang Woo,CB,65,31,500000.0,2000.0,625000.0,77.0,48.0,54.0,61.0,63.0,74.0,0.0398656,-0.21875548,-0.0036908246,0.24574609,-0.13185492,-0.03848756,-0.07105435,0.05621566,-0.070306845,0.05267554,0.099744275,0.09100531,0.15896639,0.0014644386,0.11645816,0.22349565,0.19814268,-0.005793548,-0.014209192,0.018571448,-0.16296057,-0.29101333,-0.123952776,-0.015638717,0.09032254,0.006066923,-0.09929051,-0.11815636,-0.031146795,0.053025838,-0.19287436,-0.1034395,-0.039717503,0.05840667,-0.03604634,-0.062283527,0.0044638882,0.09536087,-0.041055154,0.17838556,-0.15890622,0.15503904,0.031322602,-0.13114901,0.04799463,0.220974,-0.09252729,-0.15208979,0.089106075,-0.037358154,-0.2365674,0.09969744,0.0696187,0.1467996,0.0069032195,0.17890792,-0.07919553,0.036954656,-0.08385818,-0.116406076,0.3361299,0.05683621,0.032987826,0.12511632
205291,H. Stengel,CM,68,27,1300000.0,2000.0,1600000.0,61.0,62.0,67.0,68.0,63.0,76.0,0.046228673,-0.090441704,0.03565372,0.028208388,0.1460986,-0.117968924,0.27022198,0.2013687,0.06209515,-0.002628788,0.16130613,-0.053696964,-0.01547391,0.029556168,-0.09789934,0.26020017,0.051681805,0.07516641,-0.10489458,0.22830804,0.09868215,0.05168461,-0.1049197,0.028395481,0.14288183,-0.026661865,-0.19621816,-0.12663262,0.02791738,-0.20729896,-0.033351336,0.19650634,-0.06628058,0.20046195,-0.1554533,0.037979264,-0.06639723,-0.051299144,0.011660725,0.14374448,-0.2104191,-0.02442096,-0.08994394,-0.06610311,-0.017700868,0.18601714,-0.032581367,-0.024286665,0.08829763,-0.07579529,-0.11103633,-0.08214388,0.0723242,0.005795568,-0.13228974,-0.040272765,0.20250219,-0.296895,0.048282087,-0.013648833,0.2233255,-0.000795305,-0.12171149,-0.16587457
205331,Zhang Jiaqi,CDM,61,31,230000.0,2000.0,357000.0,52.0,56.0,52.0,52.0,59.0,79.0,0.12680268,0.07916113,0.12819405,-0.06155839,0.08308713,0.011981728,0.1551543,0.014049057,-0.038883295,0.036606837,0.27499384,-0.10807115,0.023781616,-0.06889225,-0.21267001,-0.013901744,0.11310374,-0.07526012,-0.37807456,0.15845391,0.013612366,0.04035666,-0.1018628,-0.13070881,-0.17036015,-0.072770596,-0.094160594,0.31273144,-0.014974077,0.009614278,-0.09347532,0.12196738,-0.03678128,0.12870985,-0.13089535,-0.0041167187,-0.15972048,-0.19076627,0.2484333,0.13720402,0.002500491,-0.004438567,0.1120476,-0.084385596,0.24540609,-0.0074099884,0.11389708,-0.033473726,0.1388469,0.07619289,0.10999375,0.17170402,0.06656961,0.1622728,-0.003911659,-0.02285963,0.065708034,-0.027280502,-0.12377576,-0.04974822,0.0071450802,-0.06343706,-0.07299841,0.05210907
205343,J. Akpa Akpro,CM,75,30,5500000.0,40000.0,,77.0,67.0,71.0,78.0,72.0,77.0,-0.073684715,-0.21965083,0.06459523,-0.09335909,0.101110935,-0.09785857,0.21182998,0.022971172,0.11851618,-0.21955006,0.06550484,0.011279613,0.07707383,0.039249133,-0.015639072,0.29061627,0.18593015,0.124190085,-0.026311679,0.07305171,-0.056029376,0.024411995,-0.084211834,0.13286296,0.22923256,0.01562808,0.047602452,-0.27883515,0.058864616,-0.037114095,-0.052523676,0.05279818,-0.006947598,-0.031008098,-0.15801245,0.16377872,0.007920978,-0.049273208,0.010770263,0.07928568,-0.36729434,-0.06923431,-0.05942434,-0.014986474,-0.076284006,0.23830377,-0.1622216,0.065567024,-0.038459018,0.009154879,-0.04639824,-0.16058648,0.05890844,0.08111023,-0.1564488,0.019819276,0.13569398,-0.20370087,0.051289883,-0.013443834,0.10905501,0.09574535,-0.18702304,-0.011847201
205346,R. Fredericks,RB,73,30,2600000.0,33000.0,4900000.0,90.0,49.0,64.0,70.0,68.0,67.0,0.011079237,-0.17535317,0.025475506,-0.13481386,0.0043370347,-0.12200455,0.23554587,-0.060782246,-0.06691354,0.031914897,0.025528692,0.10031586,0.18721515,0.29549712,-0.056172475,0.03339897,0.09619095,0.12864748,0.0064319796,-0.11734835,0.096168585,-0.11168521,-0.23775548,0.24093427,0.13891798,0.18178459,0.08924266,-0.16791113,0.008708753,-0.014893711,0.0030736674,-0.045006346,0.25455257,0.09673423,-0.08797592,-0.08221449,-0.024550514,-0.074736014,0.1814593,-0.025312142,-0.2243883,0.047457937,-0.13026531,0.1123712,0.09489095,0.18502164,-0.068421416,-0.039226647,-0.18055901,-0.081556454,-0.21557954,-0.012128644,0.23800471,0.091506585,-0.094342686,0.03211573,0.06633196,0.0017441219,0.004960172,0.056607753,-0.039065126,0.18994758,-0.015530607,0.01593845
205347,M. Luongo,CDM,68,30,1000000.0,8000.0,1900000.0,61.0,61.0,61.0,66.0,67.0,73.0,0.006475446,-0.08210629,0.20592757,-0.012732917,-0.009941009,-0.0055949357,0.13757889,0.07464621,-0.074587494,0.0006812608,0.22444268,-0.08043262,-0.063794546,-0.027474469,-0.17970826,0.12688312,0.13435413,-0.045779664,-0.18531346,0.18042308,-0.1283778,0.08185259,-0.12469769,-0.07323246,-0.06444061,-0.046578642,-0.1229331,0.041085094,0.119290285,0.028987572,-0.22657719,0.027382663,0.105547,0.2321863,-0.2124967,0.015458737,-0.19577737,-0.26118243,0.25820836,0.22895546,-0.0815677,0.033333857,-0.073563725,0.11015101,0.26585516,0.14605074,-0.08143553,0.06694611,-0.14101908,-0.040096197,-0.20138587,0.10296078,0.034320816,0.14288759,-0.0060617886,0.098027706,0.0703217,0.07482343,-0.06275371,-0.061667126,0.045207657,-0.006219155,-0.003005897,0.01397347
205351,A. Pritchard,CAM,69,30,1300000.0,16000.0,2500000.0,61.0,67.0,69.0,72.0,46.0,43.0,-0.0663591,0.11758731,-0.11896409,0.09181106,-0.06986604,0.086968295,0.071116336,-0.11592452,0.10288326,0.110104494,-0.14760825,-0.11584234,-0.13611276,0.0775904,-0.004035344,0.2599139,0.028453652,0.11041289,0.09947127,0.08473137,0.00904603,0.20872782,0.034804016,-0.057304963,0.14168024,0.002973126,-0.118133575,-0.1656409,0.16862231,-0.22494155,0.006555527,-0.05235817,0.08751483,-0.08385615,0.0044937264,-0.15454383,0.049884327,0.090916924,-0.05785874,0.06627454,0.1007846,0.12590072,-0.22302957,0.0076144,0.19701499,0.22057788,-0.17742349,0.05551879,-0.029677201,0.020743975,-0.23337144,-0.0033564032,-0.006706804,-0.27867875,0.06692231,0.032866165,0.1536255,0.05886931,-0.046627793,0.13239132,0.051659804,0.24226929,0.22994225,0.041470736
205360,K. Roofe,ST,73,30,3000000.0,43000.0,5400000.0,72.0,74.0,66.0,72.0,50.0,59.0,-0.040024865,-0.040273514,0.19000559,-0.121751964,-0.10214626,0.12068147,0.021541923,-0.026163308,0.039039113,-0.05100246,0.017938124,0.040727023,-0.07760696,0.061695088,0.06500343,0.2782204,0.14691164,0.2530259,0.035289284,-0.054513033,-0.0093789585,0.13479449,0.046311453,-0.17329927,0.38998148,0.01085398,0.008844921,-0.13262607,-0.019391706,-0.1868422,-0.10621688,-0.088550515,0.052108627,0.010310042,0.076079495,-0.1927527,-0.06304029,-0.005138339,0.040248584,-0.083050594,-0.20411244,0.100374505,-0.12632741,0.0667187,0.17075467,0.082025826,-0.24702819,-0.0008021062,-0.115662776,-0.15912141,-0.12680341,-0.010646751,-0.0280901,-0.08940558,-0.11489602,0.11457204,0.056954958,0.07688655,0.06958063,0.03503227,-0.051248506,0.34908238,-0.0009909339,-0.023498746
